region,sc_duringchoice_amp_loc,sc_duringchoice_slope_last,sc_duringchoice_amp_slope,sc_duringchoice_slope_last_n,sc_duringchoice_move_shape,sc_duringchoice,sc_duringchoice_move_init,sc_duringchoice_integrator,sc_duringchoice_regtype,sc_duringstim_amp_slope,sc_duringstim,sc_duringstim0,sc_duringstim_move_init,sc_duringstim_integrator,sc_duringstim_regtype,sc_stim_regtype,amp_stim_s,amp_choice_s,amp_stim_se,amp_stim_se1,sigma_stim_s,sigma_stim_s_prime,stim_processor,stim_processor_loose,has_stim,has_choice,mixed_stim_choice,duringstim_label,duringchoice_label
SPVI,False,False,True,True,,,0,0,,True,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,
x,False,True,False,False,,,0,0,,True,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,
SPIV,False,True,True,True,,1.0,0,1,0.5,True,1.0,1.0,0,1,0.5,,0.0,1.666375477339729,0.0,0.0,0.0,0.0,False,False,False,True,False,integrator,integrator
SUV,True,True,True,True,,1.0,0,1,0.5,True,1.0,1.0,0,1,0.5,,0.0,3.7172974167603714,0.0,0.0,0.0,0.0,False,False,False,True,False,integrator,integrator
ICB,False,False,True,True,,,0,0,,True,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,
IP,True,True,True,True,1.0,0.7660470359588624,1,0,1.0,True,0.6275455435019346,0.6876806898261771,1,0,1.0,0.1,1.518703127578572,3.3439585078269696,0.0,0.4659691587300565,0.31231931017382286,0.3724544564980653,False,False,True,True,True,move,move
CENT3,False,True,True,False,,1.0,0,1,0.5,True,1.0,1.0,0,1,0.5,,0.0,3.1925976861188357,0.0,0.0,0.0,0.0,False,False,False,True,False,integrator,integrator
PO,True,False,True,True,,,0,0,,True,0.0,0.1,0,0,0.1,0.1,0.0,0.0,0.0,0.10992891404296301,,1.0,False,True,True,False,False,stim_early,
LP,True,False,True,True,,,0,0,,True,0.0,0.1,0,0,0.1,0.1,0.0,0.0,0.0,0.3238400447225708,,1.0,False,True,True,False,False,stim_early,
CA3,False,False,True,False,,,0,0,,True,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,
DG,True,False,True,True,,,0,0,,True,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,
CA1,True,False,True,True,,,0,0,,True,0.0,0.1,0,0,0.1,0.1,0.0,0.0,0.0,0.16307757136655754,,1.0,False,True,True,False,False,stim_early,
VISa,True,False,True,True,,,0,0,,True,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,
COAp,False,True,True,False,1.0,,0,0,,True,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,
BMA,False,False,False,False,,,0,0,,False,0.47103599974387106,0.47103599974387106,0,0,,,2.4071445376357707,2.143532893097153,0.0,0.0,0.528964000256129,0.528964000256129,False,False,True,True,True,,
ACB,False,False,True,False,,1.0,0,1,0.5,True,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,integrator
CP,False,False,True,False,,1.0,0,1,0.5,True,0.8218029229801533,1.0,0,1,0.5,0.1,0.0,1.4161258620245314,0.0,0.30706813306269587,0.0,0.17819707701984663,False,False,True,True,True,integrator,integrator
MOp,True,False,True,True,,1.0,0,1,0.5,True,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,integrator
PRE,False,False,True,True,,,0,0,,True,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,
POST,False,True,True,True,,1.0,0,1,0.5,True,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,integrator
SUB,False,False,True,False,,,0,0,,True,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,
NB,False,False,False,False,,,0,0,,False,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,
VISp,False,False,True,False,,,0,0,,True,0.0,0.1,0,0,0.1,0.1,0.0,0.0,0.0,0.6411289268603819,,1.0,False,True,True,False,False,stim_early,
PA,False,False,False,True,,,0,0,,False,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,
CA2,False,True,True,False,,,0,0,,True,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,
ZI,True,True,True,True,1.0,1.0,1,0,1.0,True,0.0,0.1,1,-1,0.1,0.1,0.0,0.0,0.0,0.48731785261693306,,1.0,False,True,True,False,False,stim_early,move
LGd,True,False,True,True,,,0,0,,True,0.0,0.1,0,0,0.1,0.1,0.0,0.0,0.0,0.6295047508655962,,1.0,False,True,True,False,False,stim_early,
VISrl,False,False,True,True,,,0,0,,True,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,
RT,True,True,True,True,1.0,1.0,1,0,1.0,True,1.0,1.0,1,0,1.0,,0.0,2.2956146554730887,0.0,0.0,0.0,0.0,False,False,False,True,False,move,move
VAL,True,True,True,True,1.0,0.615276426107813,1,0,1.0,True,,,1,-1,1.0,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,move,move
AV,False,False,True,True,,,0,0,,True,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,
LD,True,False,True,True,,,0,0,,True,0.0,0.1,0,0,0.1,0.1,0.0,0.0,0.0,0.2708657079581367,,1.0,False,True,True,False,False,stim_early,
PGRN,False,True,True,True,,1.0,0,1,0.5,True,0.6501712441744554,0.6501712441744554,0,1,0.5,,1.9217203623601948,3.571596954637421,0.0,0.0,0.3498287558255446,0.3498287558255446,False,False,True,True,True,integrator,integrator
IRN,True,True,True,True,1.0,0.7434236863281084,1,0,1.0,True,0.9245202742544727,1.0,1,0,1.0,0.1,0.0,3.7691486035890245,0.0,0.3077209995448196,0.0,0.07547972574552739,False,False,True,True,True,move,move
PARN,True,True,True,True,1.0,1.0,1,0,1.0,True,1.0,1.0,1,0,1.0,,0.0,1.7752059769072739,0.0,0.0,0.0,0.0,False,False,False,True,False,move,move
NTS,False,False,True,False,,1.0,0,1,0.5,True,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,integrator
LAV,False,False,True,False,,1.0,0,1,0.5,True,1.0,1.0,0,1,0.5,,0.0,2.585371306045235,0.0,0.0,0.0,0.0,False,False,False,True,False,integrator,integrator
MRN,True,True,True,True,1.0,0.689797292859274,1,0,1.0,True,0.48470822546711406,0.5976801155555959,1,0,1.0,0.1,1.3315066913644689,1.9780654745831665,0.0,0.7713684301747059,0.4023198844444041,0.515291774532886,False,False,True,True,True,move,move
SCm,True,True,True,True,1.0,0.7192826791483141,1,0,1.0,True,0.5580543331006708,0.6445036598494805,1,0,1.0,0.1,1.2852409163232954,2.330101271951037,0.0,0.5600599791176661,0.35549634015051945,0.4419456668993293,False,False,True,True,True,move,move
POL,False,False,True,True,,0.5025265393815281,0,1,0.5,True,1.0,1.0,0,1,0.5,,0.0,2.480138185698398,0.0,0.0,0.0,0.0,False,False,False,True,False,integrator,integrator
SNc,False,False,True,True,,,0,0,,True,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,
APN,False,False,True,True,,1.0,0,1,0.5,True,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,integrator
ProS,False,False,True,True,,,0,0,,True,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,
TRN,False,False,True,False,,1.0,0,1,0.5,True,0.0,0.1,0,0,0.1,0.1,0.0,0.0,0.0,1.1965557188137161,,1.0,False,True,True,False,False,stim_early,integrator
RN,True,True,True,True,1.0,1.0,1,0,1.0,True,1.0,1.0,1,0,1.0,,0.0,3.275532998673717,0.0,0.0,0.0,0.0,False,False,False,True,False,move,move
PAG,False,False,True,True,,1.0,0,1,0.5,True,0.0,0.1,0,0,0.1,0.1,0.0,0.0,0.0,0.3379776489776112,,1.0,False,True,True,False,False,stim_early,integrator
NPC,True,True,True,True,,1.0,0,1,0.5,True,1.0,1.0,0,1,0.5,,0.0,3.0377360051541755,0.0,0.0,0.0,0.0,False,False,False,True,False,integrator,integrator
SCs,True,False,True,True,,,0,0,,True,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,
RSPd,False,False,True,False,,,0,0,,True,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,
RSPagl,True,False,True,True,,,0,0,,True,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,
RSPv,True,False,True,False,,,0,0,,True,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,
VPM,True,True,True,True,1.0,1.0,1,0,1.0,True,1.0,1.0,1,0,1.0,,0.0,1.0090476574695773,0.0,0.0,0.0,0.0,False,False,False,True,False,move,move
AON,True,False,True,True,,,0,0,,True,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,
ORBvl,True,False,True,True,,,0,0,,True,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,
FRP,True,False,True,False,,0.49964665412272735,0,1,0.5,True,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,integrator
MOs,False,False,True,True,,0.5891170570035013,0,1,0.5,True,1.0,1.0,0,1,0.5,,0.0,1.273579307757538,0.0,0.0,0.0,0.0,False,False,False,True,False,integrator,integrator
PERI,False,False,True,False,,,0,0,,False,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,
ECT,False,False,False,True,,,0,0,,True,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,
TEa,False,False,False,False,,,0,0,,True,0.0,0.1,0,0,0.1,0.1,0.0,0.0,0.0,0.2235591264698461,,1.0,False,True,True,False,False,stim_early,
AUDv,False,False,True,False,,,0,0,,True,0.0,0.1,0,0,0.1,0.1,0.0,0.0,0.0,0.1894883475423581,,1.0,False,True,True,False,False,stim_early,
AUDp,False,False,False,True,,,0,0,,False,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,
AUDpo,False,False,True,True,,,0,0,,False,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,
VISal,False,False,True,False,,,0,0,,False,0.0,0.1,0,0,0.1,0.1,0.0,0.0,0.0,0.8545742097959668,,1.0,False,True,True,False,False,stim_early,
CUL4 5,True,True,True,True,1.0,0.7288515284531749,1,0,1.0,True,0.9393630535522366,1.0,1,0,1.0,0.1,0.0,2.9179348933220117,0.0,0.18835599419770865,0.0,0.06063694644776338,False,False,True,True,True,move,move
V,True,True,True,True,1.0,1.0,1,0,1.0,True,1.0,1.0,1,0,1.0,,0.0,4.299673007338102,0.0,0.0,0.0,0.0,False,False,False,True,False,move,move
SUT,True,True,True,False,,,0,0,,True,1.0,1.0,0,1,0.5,,0.0,2.0506789703649115,0.0,0.0,0.0,0.0,False,False,False,True,False,integrator,
PB,True,False,True,True,,1.0,0,1,0.5,True,0.0,0.1,0,0,0.1,0.1,0.0,0.0,0.0,0.22986144449138934,,1.0,False,True,True,False,False,stim_early,integrator
MG,False,False,True,True,,,0,0,,True,0.0,0.1,0,0,0.1,0.1,0.0,0.0,0.0,0.23103186362161454,,1.0,False,True,True,False,False,stim_early,
PSV,True,True,True,True,1.0,,0,0,,True,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,
I5,False,False,False,True,,,0,0,,False,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,
SPF,False,False,True,True,,1.0,0,1,0.5,True,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,integrator
PoT,True,True,True,True,1.0,1.0,1,0,1.0,True,,,1,-1,1.0,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,move,move
SGN,False,False,True,False,,,0,0,,True,0.0,0.1,0,0,0.1,0.1,0.0,0.0,0.0,0.48779757553330416,,1.0,False,True,True,False,False,stim_early,
AIp,False,True,True,True,,,0,0,,True,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,
VISC,False,False,False,False,,1.0,0,0,,True,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,
SSs,False,False,True,False,,1.0,0,1,0.5,True,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,integrator
SSp-bfd,True,False,True,False,,1.0,0,1,0.5,True,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,integrator
MA,False,False,False,True,,,0,0,,True,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,
SI,False,False,False,True,,,0,0,,True,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,
GPe,True,False,True,True,,0.5946034123004047,0,1,0.5,True,1.0,1.0,0,1,0.5,,0.0,1.7289419167699513,0.0,0.0,0.0,0.0,False,False,False,True,False,integrator,integrator
VPL,True,True,True,True,1.0,1.0,1,0,1.0,True,0.9475669039106883,1.0,1,0,1.0,0.1,0.0,2.5868444640219668,0.0,0.1431416228135296,0.0,0.052433096089311695,False,False,True,True,True,move,move
EPv,False,False,True,False,,,0,0,,False,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,
LA,False,False,True,False,,,0,0,,True,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,
PF,False,False,True,False,,1.0,0,1,0.5,True,0.6812811355737826,1.0,0,1,0.5,0.1,0.0,3.5494185410821864,0.0,1.66049900359315,0.0,0.3187188644262174,False,False,True,True,True,integrator,integrator
LH,False,True,False,False,,,0,0,,False,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,
SSp-n,False,False,True,False,,,0,0,,True,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,
MD,False,False,True,False,,1.0,0,1,0.5,True,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,integrator
CL,False,True,True,False,,,0,0,,True,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,
SSp-tr,True,False,True,True,,,0,0,,True,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,
LSr,False,False,True,False,,,0,0,,True,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,
LSv,False,False,False,True,,,0,0,,False,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,
PL,False,False,True,True,,1.0,0,1,0.5,True,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,integrator
ACAd,False,False,True,True,,,0,0,,True,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,
PIR,False,False,True,True,,,0,0,,False,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,
AIv,True,False,True,True,,,0,0,,True,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,
AId,False,False,True,False,,1.0,0,1,0.5,True,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,integrator
PPT,False,False,True,False,,,0,0,,False,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,
OP,False,False,False,True,,,0,0,,False,0.0,0.1,0,0,0.1,0.1,0.0,0.0,0.0,1.7642251271092633,,1.0,False,True,True,False,False,stim_early,
NOT,False,False,True,False,,1.0,0,1,0.5,True,0.0,0.1,0,0,0.1,0.1,0.0,0.0,0.0,1.37054462303411,,1.0,False,True,True,False,False,stim_early,integrator
